apps/frappe/frappe/core/doctype/doctype/doctype.py +835,{0}: Cannot set import as {1} is not importable,{0}: no se puede definir 'De Importación' como {1} porque no es importable
DocType: DocField,Heading,Título
apps/frappe/frappe/public/js/frappe/model/model.js +119,Unable to load: {0},No se puede cargar : {0}
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +26,Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,Permisos en los niveles más altos son los permisos de nivel de campo. Todos los campos tienen un conjunto Nivel de permiso en su contra y las reglas definidas en el que los permisos se aplican al campo. Esto es útil en caso de que quiera ocultar o hacer cierto campo de sólo lectura para ciertas funciones.
apps/frappe/frappe/core/doctype/data_import/data_import.js +172,Select Columns,Seleccionar columnas
DocType: DocType,DocType is a Table / Form in the application.,El DocType es una tabla / formulario en la aplicación.
DocType: Workflow State,th,ª
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +214,Set the display label for the field,Ajuste la etiqueta de visualización para el campo
DocType: Communication,Sending,Envío
DocType: DocType,Child Tables are shown as a Grid in other DocTypes.,Las tablas secundarias se muestran como una cuadrícula en los DocTypes.
apps/frappe/frappe/public/js/frappe/views/reports/grid_report.js +823,With Ledgers,Con Libro Mayor
DocType: Report,Ref DocType,Referencia Tipo de Documento
DocType: Print Settings,Print Style Preview,Vista previa de Estilo de impresión
DocType: Customize Form,Enter Form Type,Introduzca Tipo de Formulario
apps/frappe/frappe/public/js/frappe/form/controls/attach.js +58,Select from existing attachments,Seleccione de archivos adjuntos existentes
DocType: Notification Recipient,Email By Document Field,Email Por Campo Documento
DocType: User,Banner Image,Imagen del banner
apps/frappe/frappe/desk/doctype/auto_repeat/auto_repeat.py +285,New {0}: #{1},Nuevo {0}: # {1}
apps/frappe/frappe/public/js/frappe/ui/messages.js +68,Enter Value,Introducir valor
apps/frappe/frappe/core/doctype/doctype/doctype.py +806,"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: no se puede Presentar, Cancelar y Corregir sin Guardar"
DocType: Web Page,Insert Style,Inserte Estilo
DocType: Workflow State,th-large,-ésimo gran
DocType: User,Email Settings,Configuración del correo electrónico
DocType: User,Send Password Update Notification,Enviar contraseña Notificación de actualización
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +49,Select Document Type,Seleccionar el tipo de documento
apps/frappe/frappe/public/js/frappe/request.js +169,Server Error: Please check your server logs or contact tech support.,Error de servidor : Se recomienda consultar los registros del servidor o contacte con Soporte técnico.
DocType: Website Settings,Website Theme Image Link,Sitio web Imagen por tema Enlace
DocType: Custom DocPerm,Role and Level,Función y Nivel
DocType: Contact Us Settings,Send enquiries to this email address,Puede enviar sus preguntas a la siguiente dirección de correo electrónico
DocType: DocType,Sort Field,Ordenar campo
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +671,Then By (optional),Entonces por ( opcional)
DocType: Workflow State,remove,Quitar
apps/frappe/frappe/desk/form/utils.py +67,This method can only be used to create a Comment,Este método sólo se puede utilizar para crear un comentario
DocType: Footer Item,"target = ""_blank""","target = "" _blank"""
DocType: System Settings,Setup Complete,Configuración completa
DocType: Address,Subsidiary,Filial
DocType: Email Account,Service,Servicio
DocType: About Us Settings,Settings for the About Us Page,Ajustes de la página Quiénes somos
DocType: Workflow State,Stop,Detenerse
apps/frappe/frappe/config/setup.py +57,Check which Documents are readable by a User,Marque que documentos pueden ser leídos por el usuario
apps/frappe/frappe/model/document.py +634,Record does not exist,Registro no existe
apps/frappe/frappe/model/document.py +685,Cannot edit cancelled document,No se puede editar un documento anulado
apps/frappe/frappe/config/setup.py +119,Set numbering series for transactions.,Establecer series de numeración para las transacciones.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +39,Submit an Issue,Presentar un problema
DocType: Currency,Symbol,Símbolo
DocType: Workflow Document State,Update Field,Actualizar Campos
apps/frappe/frappe/public/js/frappe/views/reports/query_report.js +562,Make ,Hacer
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +17,"You can change Submitted documents by cancelling them and then, amending them.","Puede cambiar los documentos Enviados cancelándolos y luego, haciendo los cambios pertinentes."
DocType: About Us Settings,Team Members Heading,Miembros del Equipo Lider
apps/frappe/frappe/email/doctype/newsletter/newsletter.py +54,Scheduled to send to {0} recipients,Programado para enviar a {0} destinatarios
DocType: Website Script,Script to attach to all web pages.,Guión para unir a todas las páginas web.
DocType: Property Setter,Set Value,Valor seleccionado
apps/frappe/frappe/public/js/frappe/form/layout.js +162,Show more details,Mostrar más detalles
apps/frappe/frappe/custom/doctype/custom_field/custom_field.js +66,Fieldname which will be the DocType for this link field.,Nombre de campo el cual será el DocType para enlazar el campo.
DocType: Workflow,DocType on which this Workflow is applicable.,El DocType en el presente del flujo de trabajo es aplicable.
DocType: Workflow,"If checked, all other workflows become inactive.","Si se selecciona, todos los otros flujos de trabajo se vuelven inactivos ."
DocType: Event,Send an email reminder in the morning,Enviar un recordatorio por correo electrónico en la mañana
DocType: DocField,No Copy,Sin copia
apps/frappe/frappe/printing/page/print_format_builder/print_format_builder.js +679,Edit Custom HTML,Edición de HTML personalizado
apps/frappe/frappe/templates/emails/password_update.html +2,Your password has been updated. Here is your new password,Su contraseña se ha actualizado. Aquí está tu nueva contraseña
DocType: Role,Role Name,Nombre de la Función
DocType: DocField,Report Hide,Ocultar Informe
apps/frappe/frappe/public/js/frappe/form/print.js +216,Warning: This Print Format is in old style and cannot be generated via the API.,Advertencia: Este formato de impresión es de estilo antiguo y no se puede generar a través de la API.
apps/frappe/frappe/core/doctype/data_import/exporter.py +66,"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","Si va a cargar nuevos registros, ""Secuencias"" se convierte en obligatoria, si está presente."
DocType: Report,Letter Head,Membretes
DocType: Custom DocPerm,Role,Función
apps/frappe/frappe/model/base_document.py +444,Options not set for link field {0},Las opciones no establecen para campo de enlace {0}
DocType: Web Page,Style,Estilo
apps/frappe/frappe/model/rename_doc.py +168,{0} not allowed to be renamed,{0} no es permitido ser renombrado
DocType: Property Setter,Field Name,Nombre del campo
DocType: Custom Script,Adds a custom script (client or server) to a DocType,Añade un acript personalizado (cliente o servidor) a un tipo de documento
DocType: Report,Report Type,Tipo de informe
DocType: User Email,Enable Outgoing,Habilitar saliente
DocType: Email Account,Ignore attachments over this size,Ignorar los adjuntos mayores a este tamaño
DocType: Print Settings,In points. Default is 9.,En puntos. El valor predeterminado es 9.
apps/frappe/frappe/config/website.py +18,User editable form on Website.,Forma editable Usuario en el Sitio Web.
apps/frappe/frappe/public/js/frappe/roles_editor.js +40,Clear all roles,Desactive todos los roles
DocType: Workflow State,thumbs-down,pulgar hacia abajo
DocType: Address Template,This format is used if country specific format is not found,Este formato se utiliza si no se encuentra un formato específico del país
apps/frappe/frappe/public/js/frappe/views/treeview.js +89,{0} Tree,{0} Árbol
DocType: Communication,Email,Correo electrónico
